title,filename,difficulty,total_notes,duration,peak_density,mean_density,peak_scratch_density,bpm_min,bpm_max,bpm_ratio,rand,doji,kdan,tril,tate,sara,cnbs,total,notes,oabmb,cpi_easy,cpi_clear,cpi_hard,cpi_exhard,cpi_fc
Exhaust Hype,exh_hype,A,1426,120.82,15.6,11.7008,2.6,147.0,147.0,1.0,46.0,50.1,44.5,19.2,24.2,12.8,0.0,196.8,1426,1113.0,,,,,
EXODUS SIGN,exodusgn,A,1364,118.4,17.8,11.5085,4.4,150.0,150.0,1.0,55.1,40.1,50.1,14.9,32.2,24.5,9.6,226.5,1352,1076.0,,,,,
Explorer feat. ぷにぷに電機,explorer,X,1461,119.08,14.8,12.125,4.0,131.0,131.0,1.0,90.0,49.2,69.2,23.5,39.3,6.2,0.0,277.4,1461,1130.5,,,,,
EXTREME MACH COLLIDER,extrmach,A,1293,118.48,16.6,10.8521,2.8,148.0,148.0,1.0,75.2,34.1,77.0,12.7,26.7,9.9,0.0,235.6,1293,1046.5,,,,,
Farewell to Marrakech,fw_marra,A,1162,135.0,15.4,8.5441,1.2,144.0,144.0,1.0,52.8,29.9,40.7,11.3,22.0,2.9,0.0,159.6,1162,981.0,,,,,
Fashion Fruit,fashionf,A,1534,129.45,17.0,11.7877,2.8,165.0,165.0,1.0,57.3,44.4,49.0,9.7,24.8,11.7,0.0,196.9,1534,1167.0,,,,,
Fervidex,fervidex,A,1361,125.65,18.6,10.7778,1.2,191.0,191.0,1.0,18.6,57.6,17.3,7.0,11.6,2.5,0.0,114.6,1361,1080.5,,,,,
FINALLY BLAZE,fnlblaze,A,1424,124.54,16.2,11.3328,2.8,185.0,185.0,1.0,53.2,28.3,41.7,6.6,15.4,11.0,13.6,169.8,1406,1103.0,,,,,
FIRE BALL,fireball,A,1170,98.38,16.8,11.6889,3.4,188.0,188.0,1.0,36.8,47.4,36.1,7.5,36.4,8.5,0.0,172.7,1170,985.0,,,,,
Flash Back 90's,fback90s,X,1140,125.52,14.8,8.9937,2.4,155.0,155.0,1.0,49.8,24.2,41.6,4.2,15.1,9.8,0.0,144.7,1140,970.0,,,,,
